,precision,recall,f1-score,support
0,0.45454545454545453,0.5,0.47619047619047616,10.0
1,0.9166666666666666,0.7857142857142857,0.8461538461538461,14.0
2,0.6428571428571429,0.6428571428571429,0.6428571428571429,14.0
3,1.0,1.0,1.0,14.0
4,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0
5,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
6,0.5555555555555556,0.7142857142857143,0.625,14.0
7,1.0,1.0,1.0,14.0
8,1.0,1.0,1.0,14.0
9,1.0,1.0,1.0,14.0
a,0.8888888888888888,1.0,0.9411764705882353,8.0
b,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
c,0.6,0.6,0.6,10.0
d,0.8461538461538461,0.7857142857142857,0.8148148148148148,14.0
e,0.75,0.5454545454545454,0.631578947368421,11.0
f,1.0,1.0,1.0,14.0
g,1.0,0.9285714285714286,0.9629629629629629,14.0
h,1.0,1.0,1.0,14.0
i,0.8125,1.0,0.896551724137931,13.0
j,0.7777777777777778,1.0,0.875,7.0
k,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
l,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0
m,0.25,0.2,0.2222222222222222,5.0
n,0.6,0.5,0.5454545454545454,6.0
o,0.3333333333333333,0.4444444444444444,0.38095238095238093,9.0
p,0.9333333333333333,1.0,0.9655172413793104,14.0
q,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
r,0.8333333333333334,0.7692307692307693,0.8,13.0
s,0.36363636363636365,0.6666666666666666,0.47058823529411764,6.0
t,0.0,0.0,0.0,4.0
u,0.7777777777777778,0.5384615384615384,0.6363636363636364,13.0
v,0.6842105263157895,0.9285714285714286,0.7878787878787878,14.0
w,0.6,0.42857142857142855,0.5,14.0
x,0.75,1.0,0.8571428571428571,12.0
y,1.0,0.36363636363636365,0.5333333333333333,11.0
z,1.0,0.8571428571428571,0.9230769230769231,14.0
accuracy,0.8018867924528302,0.8018867924528302,0.8018867924528302,0.8018867924528302
macro avg,0.7658084666308351,0.7628118794785461,0.7544939563975067,424.0
weighted avg,0.810154415642561,0.8018867924528302,0.7970434541550511,424.0
